state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3236,1100,3200,2875,29-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2601,1500,3051,2880,28-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2669,1051,3115,2800,27-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2869,1101,3000,2701,26-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2838,1000,2913,2580,25-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3664,1500,2900,2650,22-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3314,1000,3025,2700,21-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3440,1501,3000,2701,20-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3221,1201,3177,2751,19-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3487,900,3420,2851,15-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2381,1401,3699,3000,14-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2178,1100,3801,3251,13-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2529,1000,3801,3400,12-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2162,1400,3700,3351,11-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2661,851,3750,3001,08-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2010,900,3701,2900,07-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1784,951,4012,2871,06-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1979,1000,3446,3150,05-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2312,901,3100,2500,04-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2204,1000,3470,2500,01-Dec-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,9,952,3370,2450,30-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4,1001,3441,2651,29-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,7,1500,3715,2712,28-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,10,1000,3880,3501,27-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,35,1800,3876,3651,25-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1000,1000,3830,3150,24-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,30,1800,3901,3501,23-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,800,1700,3940,3200,22-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,24,900,3626,3150,21-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,47,1500,3500,3000,20-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,223,1501,3550,3150,17-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,223,1501,3570,3150,16-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,314,1832,3578,3250,15-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,356,1255,3412,2500,14-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,587,871,3202,2561,13-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,881,900,3400,2425,10-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,341,800,3475,2509,09-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,292,1200,3343,2601,08-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,348,901,3501,2660,07-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,300,1300,3440,2470,06-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,987,952,3301,2601,02-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1120,801,2901,2250,01-Nov-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,228,700,2899,2126,31-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,185,911,2670,2112,30-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,143,852,2652,1654,27-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,112,700,2735,1811,26-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,173,601,2700,2000,25-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,187,800,2801,2200,24-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,193,1100,3053,2250,23-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4,1402,1641,1560,16-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3,2260,2351,2351,12-Oct-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2068,201,676,541,03-Jul-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2625,300,400,380,18-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,20,325,461,430,17-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,42,225,500,350,13-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,51,300,528,460,12-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,78,200,473,430,11-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,94,250,471,375,10-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1884,250,593,425,07-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1419,250,570,430,06-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,363,350,551,400,05-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1659,300,541,411,03-Apr-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1359,300,631,530,25-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1119,350,620,491,23-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1009,300,622,510,22-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,886,300,640,525,21-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,671,350,630,525,20-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,327,350,635,500,16-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,190,350,618,500,15-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,204,300,587,480,14-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,110,300,590,465,10-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,101,350,609,475,09-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,117,300,640,480,08-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,84,300,650,480,07-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,52,350,620,510,06-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3893,190,626,510,03-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2903,151,624,540,02-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1600,151,615,491,01-Mar-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3396,151,673,525,28-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3561,151,635,520,27-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4126,145,686,500,23-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3644,131,712,481,22-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4367,101,651,490,17-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2817,151,691,450,16-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3146,101,674,500,15-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2736,101,731,450,14-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2398,101,676,480,13-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4370,151,700,481,10-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3060,151,671,470,09-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3327,151,686,500,08-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3381,151,699,480,07-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3344,115,651,471,06-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4370,151,651,460,03-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2683,150,701,500,02-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3166,130,686,470,01-Feb-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3803,111,741,551,30-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3957,131,732,570,25-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2677,200,706,580,19-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2631,211,718,620,18-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3040,300,711,575,17-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3355,154,651,561,16-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3641,171,726,585,13-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2678,190,710,575,12-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2881,204,700,575,11-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2814,180,740,630,10-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2738,240,787,641,09-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3392,210,771,675,06-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2744,360,799,700,05-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2707,220,811,711,04-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2831,101,814,725,03-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2909,101,781,690,02-Jan-17
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,230,301,1000,935,31-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,50,381,922,810,29-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,230,281,768,680,28-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,286,301,776,680,27-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,390,301,756,590,26-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,523,301,768,601,24-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1833,351,825,651,21-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,180,350,923,700,20-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,403,401,1081,701,19-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,435,351,1115,701,18-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,591,300,1052,780,17-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,130,300,1170,770,15-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,603,401,1299,801,14-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,587,200,1200,741,13-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,660,401,1130,801,12-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,627,400,1200,801,11-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,724,401,1056,801,10-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,723,401,1251,901,08-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,633,401,1278,851,05-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,653,401,1292,901,04-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,794,300,1401,1001,03-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,95,300,1372,1151,01-Dec-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,850,351,1370,1030,30-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,711,401,1470,1101,29-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,812,401,1540,1051,28-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,635,551,1421,1120,26-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1561,340,1331,1000,23-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,320,301,1480,1200,20-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,381,301,1300,1060,19-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,255,400,1725,1151,16-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,160,600,2018,1700,15-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,92,501,2101,1801,14-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,69,541,2052,1900,13-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,51,580,1800,1551,12-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,26,800,1860,1671,01-Nov-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,14,700,1731,1525,31-Oct-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,15,675,1686,1426,30-Oct-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,10,686,1881,1580,29-Oct-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,18,301,1401,1001,22-Oct-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,4,1420,1645,1431,19-Oct-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,26,351,680,515,10-Apr-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,32,451,697,580,09-Apr-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1500,400,702,620,06-Apr-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1134,500,750,680,05-Apr-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,72,431,701,625,04-Apr-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,169,400,847,725,26-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,157,611,880,840,23-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,173,281,871,761,22-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1517,551,823,700,21-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,241,551,771,700,20-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,247,400,765,670,19-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,342,470,800,700,16-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,384,400,928,751,15-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,330,400,848,740,14-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,762,500,800,740,13-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,726,400,899,740,12-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,731,500,1000,880,10-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,300,400,1000,800,09-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,569,500,1071,880,08-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,577,600,1111,920,07-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,610,700,1200,1050,05-Mar-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2182,851,1252,1060,28-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,463,800,1195,1051,27-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,441,900,1372,1125,26-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,296,1000,1690,1470,23-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,364,900,1642,1450,22-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1778,1161,1800,1741,21-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1865,1000,1790,1680,20-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,132,911,1901,1550,19-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,210,1100,1825,1550,16-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2594,900,1931,1790,14-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2411,1200,2035,1880,12-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1691,1000,2100,1901,09-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1463,1100,1951,1760,08-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1899,801,2120,1751,07-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1201,851,2607,2361,06-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1028,901,2536,2451,05-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2097,700,1740,1451,04-Feb-18
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2140,901,1905,1601,31-Jan-18
